Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
1023.b3.txt,15.88,9.14,12.64,5.99,8,7,7
0310.b3.txt,19.71,8.19,9.08,6.51,25,20,8
1536.b3.txt,20.42,8.37,7.65,5.12,10,19,8
1097.b3.txt,18.58,10.01,10.76,6.1,15,8,9
1534.b3.txt,20.2,10.18,12.67,6.03,14,7,9
0103.b3.txt,21.86,7.41,7.57,3.11,17,17,46
0139.b3.txt,23.81,10.28,9.92,4.25,11,2,13
0200.b3.txt,19.83,8.85,10.3,5.03,7,4,10
1066.b3.txt,20.28,10.83,11.46,5.16,9,1,8
0300.b3.txt,18.79,9.95,9.84,3.51,22,13,15
2034.b3.txt,17.09,13.71,7.8,5.39,14,5,15
0140.b3.txt,34.02,8.26,7.83,3.48,4,4,6
0308.b3.txt,20.17,10.56,9.18,7.88,5,5,5
0304.b3.txt,18.43,10.34,7.84,5.25,7,7,13
2018.b3.txt,21.03,12.16,7.9,3.78,10,5,15
0133.b3.txt,17.34,9.52,6.38,4.46,31,9,17
1508.b3.txt,18.26,10.23,7.52,3.73,20,16,25
1520.b3.txt,16.14,11.19,6.47,3.93,17,15,30
1532.b3.txt,19.98,10.11,8.05,4.7,20,20,17
0105.b3.txt,16.27,10.24,9.72,4.81,7,3,6
0171.b3.txt,19.15,9.65,10.42,4.02,19,16,16
1069.b3.txt,18.52,8.93,8.12,4.91,29,29,24
0303.b3.txt,18.33,9.16,9.43,5.12,2,0,1
0313.b3.txt,25.05,7.68,10.96,3.95,5,9,12
0134.b3.txt,19.21,11.36,9.09,9.64,7,3,13
1112.b3.txt,19.25,10.96,10.37,5.23,6,3,11
1100.b3.txt,19.29,9.3,7.67,3.62,12,6,2
0165.b3.txt,23.45,8.39,8.7,3.25,31,18,12
0122.b3.txt,17.85,9.96,7.5,3.3,12,9,21
1082.b3.txt,27.02,8.47,11.11,4.03,14,7,19
0130.b3.txt,19.32,9.54,8.59,5.33,16,11,12
1533.b3.txt,19.28,10.47,8.2,3.89,9,8,14
1057.b3.txt,21.61,11.18,7.57,4.29,20,15,15
0307.b3.txt,19.13,8.91,10.16,2.84,14,14,28
1102.b3.txt,18.9,8.39,10.17,5.08,4,26,6
