Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
3020.b5.txt,19.69,9.51,9.32,3.07,7,3,5
0103.b5.txt,20.04,12.27,9.66,4.15,12,2,1
1021.b5.txt,19.84,11.54,6.85,3.61,12,2,3
0300.b5.txt,20.57,9.27,9.43,4.8,21,4,8
0200.b5.txt,19.48,11.22,8.12,5.65,8,1,2
2034.b5.txt,18.84,10.93,8.8,5.24,9,2,5
1023.b5.txt,15.68,14.25,7.5,6.75,12,4,4
0310.b5.txt,18.19,12.25,9.43,6.09,7,3,2
2028.b5.txt,15.0,15.47,5.55,4.36,13,1,4
3018.b5.txt,16.4,11.96,7.68,5.98,7,0,1
2032.b5.txt,11.9,15.63,6.69,6.24,13,3,3
1003.b5.txt,16.42,12.55,6.12,4.57,6,3,4
1508.b5.txt,14.04,13.6,4.51,5.17,16,3,11
1532.b5.txt,17.8,13.99,4.61,3.99,12,2,4
0140.b5.txt,16.45,11.89,6.81,5.76,10,0,5
1533.b5.txt,17.01,13.87,5.41,4.76,14,3,9
2066.b5.txt,14.49,15.68,5.74,4.01,6,0,3
1057.b5.txt,17.97,11.34,9.35,4.97,10,0,2
2019.b5.txt,15.2,12.25,5.56,3.65,5,1,6
1100.b5.txt,20.51,12.36,8.48,4.12,14,1,6
0165.b5.txt,20.5,10.83,8.17,4.58,9,0,4
