Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
2028.b2.txt,20.6,13.94,8.79,4.02,0,2,1
3501.b2.txt,20.02,10.32,6.97,3.11,6,4,9
0310.b2.txt,26.48,10.8,5.92,4.99,5,2,1
3525.b2.txt,19.64,12.07,8.86,4.62,5,4,4
2012.b2.txt,21.09,9.78,9.66,2.67,3,4,2
1023.b2.txt,16.47,11.02,7.91,5.58,4,3,8
1097.b2.txt,19.98,11.56,7.91,6.08,5,1,1
4038.b2.txt,21.99,14.74,5.96,5.5,2,0,1
1528.b2.txt,20.0,12.04,9.15,3.18,6,1,1
0139.b2.txt,16.81,13.45,10.32,5.16,0,0,4
4012.b2.txt,21.43,11.66,6.62,5.04,0,0,2
4036.b2.txt,18.32,11.05,8.6,5.12,7,14,10
0103.b2.txt,22.94,12.61,6.06,4.17,1,3,0
3020.b2.txt,20.11,12.07,6.09,2.83,2,0,2
3511.b2.txt,21.04,12.16,6.18,4.39,3,5,5
3503.b2.txt,23.11,10.31,8.57,3.85,4,2,5
2034.b2.txt,19.63,11.68,5.92,5.75,3,3,3
0300.b2.txt,19.08,14.86,9.34,4.02,2,1,4
0200.b2.txt,20.11,12.8,11.29,6.45,3,1,7
1021.b2.txt,21.91,11.76,6.93,4.02,3,1,1
1541.b2.txt,22.35,9.66,9.9,6.64,2,2,1
0140.b2.txt,21.81,10.8,6.22,5.56,5,2,4
3523.b2.txt,24.27,13.45,7.7,3.7,3,3,3
3507.b2.txt,19.35,11.34,10.68,4.19,5,3,2
2030.b2.txt,17.77,15.12,6.23,6.23,0,1,0
3519.b2.txt,18.17,13.25,7.53,4.42,3,4,0
0308.b2.txt,17.37,11.21,9.83,7.08,2,1,4
3509.b2.txt,20.7,13.1,8.89,5.61,1,1,7
1003.b2.txt,19.62,13.81,8.87,3.92,3,2,3
2032.b2.txt,21.65,11.9,8.76,4.13,1,1,5
3505.b2.txt,20.37,13.66,8.41,4.63,1,1,2
1532.b2.txt,16.75,11.28,9.59,6.01,7,14,7
1520.b2.txt,20.17,13.83,6.92,4.8,3,2,2
2028.b2i.txt,20.48,14.07,8.79,4.02,0,2,1
1508.b2.txt,16.05,14.57,6.76,3.59,3,1,1
1104.b2i.txt,20.19,11.75,5.98,5.24,1,1,2
2070.b2i.txt,18.71,12.91,7.99,5.47,4,1,3
2070.b2.txt,18.71,12.91,7.99,5.47,5,1,2
1006.b2.txt,20.61,11.71,7.32,5.12,0,2,1
0313.b2.txt,16.9,11.73,9.19,5.25,6,9,6
1104.b2.txt,20.19,11.75,5.98,5.24,1,1,2
1006.b2i.txt,20.61,11.71,7.32,5.12,0,2,1
0134.b2.txt,20.04,10.66,13.52,7.4,3,1,1
3518.b2.txt,13.77,14.0,6.49,3.47,12,4,6
3506.b2.txt,19.9,11.99,6.24,4.68,3,5,4
1100.b2.txt,16.15,11.55,8.07,4.84,4,1,1
1112.b2.txt,22.53,11.59,6.88,4.05,10,2,11
3522.b2.txt,21.17,11.84,9.19,5.71,4,1,2
2019.b2.txt,17.6,12.52,8.6,6.13,1,1,2
3013.b2.txt,17.53,10.89,7.44,4.52,10,2,7
0165.b2.txt,20.92,11.51,8.51,3.5,0,0,0
1533.b2.txt,20.06,13.19,7.67,3.36,4,3,4
3508.b2.txt,22.28,11.96,9.24,3.8,3,5,0
3504.b2.txt,23.64,12.54,7.66,3.77,4,6,4
1057.b2.txt,19.58,12.17,8.08,5.5,2,2,0
2066.b2.txt,23.22,12.96,10.26,5.7,0,1,6
3520.b2.txt,22.05,11.99,7.67,3.97,4,1,2
