Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,No. Unique PER,No. Unique LOC,No. Unique ORG
2074.a3.txt,22.1,12.04,8.22,5.81,3,4,5
5013.a3.txt,18.98,15.1,7.17,7.47,0,0,0
0223.a3.txt,20.81,12.3,6.41,7.33,1,0,2
2017.a3.txt,21.29,12.4,7.41,4.72,1,1,0
2066.a3.txt,25.32,14.05,7.21,4.99,0,1,0
5001.a3.txt,21.06,11.37,8.66,7.24,2,0,0
0231.a3.txt,25.75,12.45,7.44,5.44,0,0,1
1057.a3.txt,19.04,12.86,7.91,5.56,1,0,0
0186.a3.txt,20.56,11.25,8.75,7.78,2,2,0
1034.a3.txt,22.31,12.44,6.98,3.49,2,2,0
1049.a3.txt,19.44,14.44,7.08,6.39,0,0,0
0198.a3.txt,20.59,11.63,5.21,5.75,2,2,1
2005.a3.txt,17.46,13.05,7.8,8.14,0,1,1
2050.a3.txt,25.44,11.49,8.89,4.1,1,1,4
1061.a3.txt,20.16,12.76,6.46,4.88,0,2,0
0207.a3.txt,17.83,14.07,6.13,3.2,0,3,0
5029.a3.txt,21.83,14.56,7.28,5.39,4,0,1
1102.a3.txt,23.02,12.34,6.24,6.1,1,0,1
0219.a3.txt,23.3,13.6,6.37,6.66,1,0,1
2042.a3.txt,19.31,13.59,6.72,6.58,2,1,1
0215.a3.txt,19.72,13.93,5.4,4.55,2,4,4
2021.a3.txt,21.91,13.31,9.85,6.38,2,0,1
5046.a3.txt,25.0,14.37,6.61,5.6,1,1,1
0175.a3.txt,20.79,13.2,6.04,4.49,1,1,0
4023.a3.txt,20.4,11.47,8.36,7.37,0,0,1
3044.a3.txt,21.09,11.07,7.16,4.3,2,7,6
0179.a3.txt,24.97,13.14,6.18,4.47,2,2,3
0104.a3.txt,18.01,12.05,6.65,6.09,2,1,0
3003.a3.txt,25.7,11.9,10.0,4.2,0,1,1
4007.a3.txt,21.02,13.46,7.55,4.95,0,3,5
0120.a3.txt,22.97,11.41,9.22,5.94,0,3,0
0143.a3.txt,24.38,10.38,6.61,4.41,4,1,1
3072.a3.txt,26.11,12.3,6.9,6.26,3,1,0
4015.a3.txt,20.0,12.65,5.59,7.65,2,0,1
0165.a3.txt,19.02,13.25,6.63,5.28,2,1,3
0118.a3.txt,26.57,11.95,9.28,3.46,0,2,2
3037.a3.txt,24.45,12.06,10.03,6.07,3,0,4
0106.a3.txt,24.59,10.58,8.38,6.46,1,0,0
0177.a3.txt,21.78,12.07,8.14,7.87,3,1,0
0169.a3.txt,24.13,11.73,6.67,5.07,1,2,3
4042.a3.txt,21.04,11.19,5.86,5.06,4,3,2
1090.a3.txt,18.75,12.11,6.51,4.95,2,0,2
4017.a3.txt,19.72,12.34,9.8,6.81,1,0,0
3013.a3.txt,16.84,14.22,6.97,5.37,2,0,1
4009.a3.txt,18.56,14.89,6.3,5.95,1,0,0
0122.a3.txt,25.67,12.23,7.26,5.11,0,1,0
4005.a3.txt,26.01,13.75,7.77,5.83,2,0,2
3062.a3.txt,26.82,11.78,9.2,6.62,2,0,0
3001.a3.txt,22.27,13.52,6.69,4.51,0,1,0
